run_log,run_family,config_path_logged,config_path_repo,config_exists,graphml_path,graph_num_nodes_cfg,num_deliveries_cfg,use_pretrained_model_cfg,pretrained_model_path_cfg,resume_training_cfg,flood_time_weight_cfg,landslide_time_weight_cfg,hazard_lambda_cfg,active_rain_keys_cfg,graph_nodes_log,graph_edges_log,tmax_log,device_log,run_count,first_eval_episode,last_eval_episode,best_eval_eps0_episode,best_eval_eps0_success,best_eval_eps0_reward,best_eval_eps005_episode,best_eval_eps005_success,best_eval_eps005_reward,final_eval_eps0_success,final_eval_eps005_success,final_eval_eps0_reward,final_eval_eps005_reward,best_ckpt_episode_logged,best_ckpt_success_logged,best_ckpt_reward_logged
results/runs/_no_folder/last_run.txt,_no_folder,C:\Users\japaullu.tsis\Desktop\projects\RL_framework\configs\staged_training\stage_control_1_200n_further_SCdiff.json,configs/staged_training/stage_control_1_200n_further_SCdiff.json,true,data/subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/stage_control_1_200n/best_model.pt,false,0.0,0.0,0.0,RI1,15,16,162.26,cuda,1,420,1500,1460,77.33,91.65,1480,81.00,104.32,71.67,73.33,65.53,72.76,1460,77.33,91.65
results/runs/_no_folder/last_run_control.txt,_no_folder,,,false,,,,,,,,,,,100,102,1706.70,cuda,0,150,30000,29000,95.00,219.43,26400,99.00,235.15,82.00,91.00,177.06,209.14,29000,95.00,219.43
results/runs/_no_folder/last_run_control_1.txt,_no_folder,,,false,,,,,,,,,,,100,102,1706.70,cuda,0,200,35000,34000,98.00,232.03,34400,100.00,239.87,96.00,94.00,226.06,218.54,34000,98.00,232.03
results/runs/_no_folder/last_run_control_1b.txt,_no_folder,C:\Users\japaullu.tsis\Desktop\projects\RL_framework\configs\no_hazard_training\no_hazard_config_control_1b.json,configs/no_hazard_training/no_hazard_config_control_1b.json,true,data/subgraphs/selected_subgraph_n100.graphml,100,2,false,,true,0.0,0.0,0.0,RI1,100,102,1706.70,cuda,2,200,35000,32600,92.00,212.05,32200,97.00,227.99,51.00,63.00,50.67,96.78,32600,92.00,212.05
results/runs/_no_folder/last_run_control_1c.txt,_no_folder,C:\Users\japaullu.tsis\Desktop\projects\RL_framework\configs\no_hazard_training\no_hazard_config_control_1c.json,configs/no_hazard_training/no_hazard_config_control_1c.json,true,data/subgraphs/selected_subgraph_n100.graphml,100,2,false,,false,0.0,0.0,0.0,RI1,100,102,1706.70,cuda,1,200,1200,600,2.00,-159.94,1000,3.00,-153.55,0.00,1.00,-163.19,-157.09,600,2.00,-159.94
results/runs/_no_folder/last_run_control_BC.txt,_no_folder,,,false,,,,,,,,,,,100,102,1706.70,cuda,0,200,16600,16600,50.00,56.22,14600,67.00,119.42,50.00,55.00,56.22,71.33,16600,50.00,56.22
results/runs/_no_folder/last_run_curriculum_v1.txt,_no_folder,,,false,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
results/runs/_no_folder/last_run_curriculum_v2.txt,_no_folder,,,false,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
results/runs/_no_folder/last_run_paulmino_Excellent.txt,_no_folder,,,false,,,,,,,,,,,30,30,1409.86,cuda,0,150,19950,16800,100.00,241.87,17400,100.00,241.89,100.00,100.00,241.77,241.56,18600,100.00,241.87
results/runs/_no_folder/regular_full_run_epsilon-exp.txt,_no_folder,,,false,,,,,,,,,,,,,,,0,100,5000,3700,42.00,19.75,1700,57.00,75.30,28.00,45.00,-35.65,34.14,3700,42.00,19.75
